Statistic Label,Year,Commodity Group,Country,VALUE,Missing,Commodity Code,Commodity Category,ISO3
Value of Imports,2015,Live animals except fish etc. (00),Austria,100.0,False,0,Food and Beverages,AUT
Value of Imports,2015,Live animals except fish etc. (00),Australia,2436.0,False,0,Food and Beverages,AUS
Value of Imports,2015,Live animals except fish etc. (00),Belgium,4279.0,False,0,Food and Beverages,BEL
Value of Imports,2015,Live animals except fish etc. (00),Bulgaria,,True,0,Food and Beverages,BGR
Value of Imports,2015,Live animals except fish etc. (00),Brazil,,True,0,Food and Beverages,BRA
Value of Imports,2015,Live animals except fish etc. (00),Canada,187.0,False,0,Food and Beverages,CAN
Value of Imports,2015,Live animals except fish etc. (00),Switzerland,58.0,False,0,Food and Beverages,CHE
Value of Imports,2015,Live animals except fish etc. (00),China,,True,0,Food and Beverages,CHN
Value of Imports,2015,Live animals except fish etc. (00),Cyprus,,True,0,Food and Beverages,CYP
Value of Imports,2015,Live animals except fish etc. (00),Czech Republic,3.0,False,0,Food and Beverages,CZE
Value of Imports,2015,Live animals except fish etc. (00),Germany,2473.0,False,0,Food and Beverages,DEU
Value of Imports,2015,Live animals except fish etc. (00),Denmark,383.0,False,0,Food and Beverages,DNK
Value of Imports,2015,Live animals except fish etc. (00),Estonia,,True,0,Food and Beverages,EST
Value of Imports,2015,Live animals except fish etc. (00),Spain,236.0,False,0,Food and Beverages,ESP
Value of Imports,2015,Live animals except fish etc. (00),Finland,,True,0,Food and Beverages,FIN
Value of Imports,2015,Live animals except fish etc. (00),France,11798.0,False,0,Food and Beverages,FRA
Value of Imports,2015,Live animals except fish etc. (00),Greece,,True,0,Food and Beverages,GRC
Value of Imports,2015,Live animals except fish etc. (00),Croatia,,True,0,Food and Beverages,HRV
Value of Imports,2015,Live animals except fish etc. (00),Hungary,10.0,False,0,Food and Beverages,HUN
Value of Imports,2015,Live animals except fish etc. (00),India,,True,0,Food and Beverages,IND
Value of Imports,2015,Live animals except fish etc. (00),Italy,844.0,False,0,Food and Beverages,ITA
Value of Imports,2015,Live animals except fish etc. (00),Japan,470.0,False,0,Food and Beverages,JPN
Value of Imports,2015,Live animals except fish etc. (00),South Korea,,True,0,Food and Beverages,KOR
Value of Imports,2015,Live animals except fish etc. (00),Lithuania,13.0,False,0,Food and Beverages,LTU
Value of Imports,2015,Live animals except fish etc. (00),Luxembourg,,True,0,Food and Beverages,LUX
Value of Imports,2015,Live animals except fish etc. (00),Latvia,156.0,False,0,Food and Beverages,LVA
Value of Imports,2015,Live animals except fish etc. (00),Malta,,True,0,Food and Beverages,MLT
Value of Imports,2015,Live animals except fish etc. (00),Mexico,,True,0,Food and Beverages,MEX
Value of Imports,2015,Live animals except fish etc. (00),Malaysia,,True,0,Food and Beverages,MYS
Value of Imports,2015,Live animals except fish etc. (00),Netherlands,1002.0,False,0,Food and Beverages,NLD
Value of Imports,2015,Live animals except fish etc. (00),Norway,,True,0,Food and Beverages,NOR
Value of Imports,2015,Live animals except fish etc. (00),Poland,35.0,False,0,Food and Beverages,POL
Value of Imports,2015,Live animals except fish etc. (00),Portugal,17.0,False,0,Food and Beverages,PRT
Value of Imports,2015,Live animals except fish etc. (00),Romania,,True,0,Food and Beverages,ROU
Value of Imports,2015,Live animals except fish etc. (00),Russia,,True,0,Food and Beverages,RUS
Value of Imports,2015,Live animals except fish etc. (00),Saudi Arabia,,True,0,Food and Beverages,SAU
Value of Imports,2015,Live animals except fish etc. (00),Sweden,245.0,False,0,Food and Beverages,SWE
Value of Imports,2015,Live animals except fish etc. (00),Singapore,,True,0,Food and Beverages,SGP
Value of Imports,2015,Live animals except fish etc. (00),Slovenia,,True,0,Food and Beverages,SVN
Value of Imports,2015,Live animals except fish etc. (00),Slovakia,,True,0,Food and Beverages,SVK
Value of Imports,2015,Live animals except fish etc. (00),Thailand,,True,0,Food and Beverages,THA
Value of Imports,2015,Live animals except fish etc. (00),Turkey,,True,0,Food and Beverages,TUR
Value of Imports,2015,Live animals except fish etc. (00),Taiwan,,True,0,Food and Beverages,TWN
Value of Imports,2015,Live animals except fish etc. (00),USA,30525.0,False,0,Food and Beverages,USA
