Statistic Label,Year,Commodity Group,Countries and Territories,UNIT,VALUE,Commodity Name,Code,Category,Country Code
Value of Imports,2015,Live animals except fish etc. (00),Austria,Euro Thousand,100.0,Live animals except fish etc.,0.0,Food & Beverages,AUT
Value of Imports,2015,Live animals except fish etc. (00),Australia,Euro Thousand,2436.0,Live animals except fish etc.,0.0,Food & Beverages,AUS
Value of Imports,2015,Live animals except fish etc. (00),Belgium,Euro Thousand,4279.0,Live animals except fish etc.,0.0,Food & Beverages,BEL
Value of Imports,2015,Live animals except fish etc. (00),Bulgaria,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,BGR
Value of Imports,2015,Live animals except fish etc. (00),Brazil,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,BRA
Value of Imports,2015,Live animals except fish etc. (00),Canada,Euro Thousand,187.0,Live animals except fish etc.,0.0,Food & Beverages,CAN
Value of Imports,2015,Live animals except fish etc. (00),Switzerland,Euro Thousand,58.0,Live animals except fish etc.,0.0,Food & Beverages,CHE
Value of Imports,2015,Live animals except fish etc. (00),China,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,CHN
Value of Imports,2015,Live animals except fish etc. (00),Cyprus,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,CYP
Value of Imports,2015,Live animals except fish etc. (00),Czech Republic,Euro Thousand,3.0,Live animals except fish etc.,0.0,Food & Beverages,CZE
Value of Imports,2015,Live animals except fish etc. (00),Germany,Euro Thousand,2473.0,Live animals except fish etc.,0.0,Food & Beverages,DEU
Value of Imports,2015,Live animals except fish etc. (00),Denmark,Euro Thousand,383.0,Live animals except fish etc.,0.0,Food & Beverages,DNK
Value of Imports,2015,Live animals except fish etc. (00),Estonia,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,EST
Value of Imports,2015,Live animals except fish etc. (00),Spain,Euro Thousand,236.0,Live animals except fish etc.,0.0,Food & Beverages,ESP
Value of Imports,2015,Live animals except fish etc. (00),Finland,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,FIN
Value of Imports,2015,Live animals except fish etc. (00),France,Euro Thousand,11798.0,Live animals except fish etc.,0.0,Food & Beverages,FRA
Value of Imports,2015,Live animals except fish etc. (00),Greece,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,GRC
Value of Imports,2015,Live animals except fish etc. (00),Croatia,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,HRV
Value of Imports,2015,Live animals except fish etc. (00),Hungary,Euro Thousand,10.0,Live animals except fish etc.,0.0,Food & Beverages,HUN
Value of Imports,2015,Live animals except fish etc. (00),India,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,IND
Value of Imports,2015,Live animals except fish etc. (00),Italy,Euro Thousand,844.0,Live animals except fish etc.,0.0,Food & Beverages,ITA
Value of Imports,2015,Live animals except fish etc. (00),Japan,Euro Thousand,470.0,Live animals except fish etc.,0.0,Food & Beverages,JPN
Value of Imports,2015,Live animals except fish etc. (00),South Korea,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,KOR
Value of Imports,2015,Live animals except fish etc. (00),Lithuania,Euro Thousand,13.0,Live animals except fish etc.,0.0,Food & Beverages,LTU
Value of Imports,2015,Live animals except fish etc. (00),Luxembourg,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,LUX
Value of Imports,2015,Live animals except fish etc. (00),Latvia,Euro Thousand,156.0,Live animals except fish etc.,0.0,Food & Beverages,LVA
Value of Imports,2015,Live animals except fish etc. (00),Malta,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,MLT
Value of Imports,2015,Live animals except fish etc. (00),Mexico,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,MEX
Value of Imports,2015,Live animals except fish etc. (00),Malaysia,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,MYS
Value of Imports,2015,Live animals except fish etc. (00),Netherlands,Euro Thousand,1002.0,Live animals except fish etc.,0.0,Food & Beverages,NLD
Value of Imports,2015,Live animals except fish etc. (00),Norway,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,NOR
Value of Imports,2015,Live animals except fish etc. (00),Poland,Euro Thousand,35.0,Live animals except fish etc.,0.0,Food & Beverages,POL
Value of Imports,2015,Live animals except fish etc. (00),Portugal,Euro Thousand,17.0,Live animals except fish etc.,0.0,Food & Beverages,PRT
Value of Imports,2015,Live animals except fish etc. (00),Romania,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,ROU
Value of Imports,2015,Live animals except fish etc. (00),Russia,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,RUS
Value of Imports,2015,Live animals except fish etc. (00),Saudi Arabia,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,SAU
Value of Imports,2015,Live animals except fish etc. (00),Sweden,Euro Thousand,245.0,Live animals except fish etc.,0.0,Food & Beverages,SWE
Value of Imports,2015,Live animals except fish etc. (00),Singapore,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,SGP
Value of Imports,2015,Live animals except fish etc. (00),Slovenia,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,SVN
Value of Imports,2015,Live animals except fish etc. (00),Slovakia,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,SVK
Value of Imports,2015,Live animals except fish etc. (00),Thailand,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,THA
Value of Imports,2015,Live animals except fish etc. (00),Turkey,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,TUR
Value of Imports,2015,Live animals except fish etc. (00),Taiwan,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,TWN
Value of Imports,2015,Live animals except fish etc. (00),USA,Euro Thousand,30525.0,Live animals except fish etc.,0.0,Food & Beverages,USA
Value of Imports,2015,Live animals except fish etc. (00),Great Britain,Euro Thousand,228632.0,Live animals except fish etc.,0.0,Food & Beverages,GBR
Value of Imports,2015,Live animals except fish etc. (00),Northern Ireland,Euro Thousand,8283.0,Live animals except fish etc.,0.0,Food & Beverages,GBR
Value of Imports,2015,Live animals except fish etc. (00),South Africa,Euro Thousand,-1.0,Live animals except fish etc.,0.0,Food & Beverages,ZAF
Value of Imports,2015,Live animals except fish etc. (00),EU country not specified,Euro Thousand,25128.0,Live animals except fish etc.,0.0,Food & Beverages,UNK
Value of Imports,2015,Live animals except fish etc. (00),Other countries,Euro Thousand,1204.0,Live animals except fish etc.,0.0,Food & Beverages,UNK
Value of Imports,2015,Meat and meat preparations (01),Austria,Euro Thousand,563.0,Meat and meat preparations,1.0,Food & Beverages,AUT
Value of Imports,2015,Meat and meat preparations (01),Australia,Euro Thousand,234.0,Meat and meat preparations,1.0,Food & Beverages,AUS
Value of Imports,2015,Meat and meat preparations (01),Belgium,Euro Thousand,10456.0,Meat and meat preparations,1.0,Food & Beverages,BEL
Value of Imports,2015,Meat and meat preparations (01),Bulgaria,Euro Thousand,657.0,Meat and meat preparations,1.0,Food & Beverages,BGR
Value of Imports,2015,Meat and meat preparations (01),Brazil,Euro Thousand,22991.0,Meat and meat preparations,1.0,Food & Beverages,BRA
Value of Imports,2015,Meat and meat preparations (01),Canada,Euro Thousand,-1.0,Meat and meat preparations,1.0,Food & Beverages,CAN
Value of Imports,2015,Meat and meat preparations (01),Switzerland,Euro Thousand,9.0,Meat and meat preparations,1.0,Food & Beverages,CHE
Value of Imports,2015,Meat and meat preparations (01),China,Euro Thousand,9768.0,Meat and meat preparations,1.0,Food & Beverages,CHN
Value of Imports,2015,Meat and meat preparations (01),Cyprus,Euro Thousand,-1.0,Meat and meat preparations,1.0,Food & Beverages,CYP
Value of Imports,2015,Meat and meat preparations (01),Czech Republic,Euro Thousand,121.0,Meat and meat preparations,1.0,Food & Beverages,CZE
Value of Imports,2015,Meat and meat preparations (01),Germany,Euro Thousand,97185.0,Meat and meat preparations,1.0,Food & Beverages,DEU
Value of Imports,2015,Meat and meat preparations (01),Denmark,Euro Thousand,20805.0,Meat and meat preparations,1.0,Food & Beverages,DNK
Value of Imports,2015,Meat and meat preparations (01),Estonia,Euro Thousand,40.0,Meat and meat preparations,1.0,Food & Beverages,EST
Value of Imports,2015,Meat and meat preparations (01),Spain,Euro Thousand,27531.0,Meat and meat preparations,1.0,Food & Beverages,ESP
Value of Imports,2015,Meat and meat preparations (01),Finland,Euro Thousand,26.0,Meat and meat preparations,1.0,Food & Beverages,FIN
Value of Imports,2015,Meat and meat preparations (01),France,Euro Thousand,20698.0,Meat and meat preparations,1.0,Food & Beverages,FRA
Value of Imports,2015,Meat and meat preparations (01),Greece,Euro Thousand,-1.0,Meat and meat preparations,1.0,Food & Beverages,GRC
Value of Imports,2015,Meat and meat preparations (01),Croatia,Euro Thousand,-1.0,Meat and meat preparations,1.0,Food & Beverages,HRV
Value of Imports,2015,Meat and meat preparations (01),Hungary,Euro Thousand,197.0,Meat and meat preparations,1.0,Food & Beverages,HUN
Value of Imports,2015,Meat and meat preparations (01),India,Euro Thousand,4.0,Meat and meat preparations,1.0,Food & Beverages,IND
Value of Imports,2015,Meat and meat preparations (01),Italy,Euro Thousand,13680.0,Meat and meat preparations,1.0,Food & Beverages,ITA
Value of Imports,2015,Meat and meat preparations (01),Japan,Euro Thousand,5.0,Meat and meat preparations,1.0,Food & Beverages,JPN
Value of Imports,2015,Meat and meat preparations (01),South Korea,Euro Thousand,61.0,Meat and meat preparations,1.0,Food & Beverages,KOR
Value of Imports,2015,Meat and meat preparations (01),Lithuania,Euro Thousand,3318.0,Meat and meat preparations,1.0,Food & Beverages,LTU
Value of Imports,2015,Meat and meat preparations (01),Luxembourg,Euro Thousand,-1.0,Meat and meat preparations,1.0,Food & Beverages,LUX
Value of Imports,2015,Meat and meat preparations (01),Latvia,Euro Thousand,85.0,Meat and meat preparations,1.0,Food & Beverages,LVA
Value of Imports,2015,Meat and meat preparations (01),Malta,Euro Thousand,-1.0,Meat and meat preparations,1.0,Food & Beverages,MLT
Value of Imports,2015,Meat and meat preparations (01),Mexico,Euro Thousand,-1.0,Meat and meat preparations,1.0,Food & Beverages,MEX
Value of Imports,2015,Meat and meat preparations (01),Malaysia,Euro Thousand,-1.0,Meat and meat preparations,1.0,Food & Beverages,MYS
Value of Imports,2015,Meat and meat preparations (01),Netherlands,Euro Thousand,186702.0,Meat and meat preparations,1.0,Food & Beverages,NLD
Value of Imports,2015,Meat and meat preparations (01),Norway,Euro Thousand,-1.0,Meat and meat preparations,1.0,Food & Beverages,NOR
Value of Imports,2015,Meat and meat preparations (01),Poland,Euro Thousand,47619.0,Meat and meat preparations,1.0,Food & Beverages,POL
Value of Imports,2015,Meat and meat preparations (01),Portugal,Euro Thousand,699.0,Meat and meat preparations,1.0,Food & Beverages,PRT
