Statistic Label,Date,Year,MonthName,VALUE,Missing
Trade Price Index for Imports,2015-01-01,2015,January,100.5,False
Trade Price Index for Imports,2015-02-01,2015,February,97.8,False
Trade Price Index for Imports,2015-03-01,2015,March,101.4,False
Trade Price Index for Imports,2015-04-01,2015,April,105.4,False
Trade Price Index for Imports,2015-05-01,2015,May,106.8,False
Trade Price Index for Imports,2015-06-01,2015,June,98.5,False
Trade Price Index for Imports,2015-07-01,2015,July,102.7,False
Trade Price Index for Imports,2015-08-01,2015,August,104.8,False
Trade Price Index for Imports,2015-09-01,2015,September,98.7,False
Trade Price Index for Imports,2015-10-01,2015,October,94.8,False
Trade Price Index for Imports,2015-11-01,2015,November,96.6,False
Trade Price Index for Imports,2015-12-01,2015,December,94.9,False
Trade Price Index for Imports,2016-01-01,2016,January,87.0,False
Trade Price Index for Imports,2016-02-01,2016,February,91.6,False
Trade Price Index for Imports,2016-03-01,2016,March,89.7,False
Trade Price Index for Imports,2016-04-01,2016,April,93.4,False
Trade Price Index for Imports,2016-05-01,2016,May,94.2,False
Trade Price Index for Imports,2016-06-01,2016,June,96.7,False
Trade Price Index for Imports,2016-07-01,2016,July,96.2,False
Trade Price Index for Imports,2016-08-01,2016,August,93.1,False
Trade Price Index for Imports,2016-09-01,2016,September,93.4,False
Trade Price Index for Imports,2016-10-01,2016,October,95.9,False
Trade Price Index for Imports,2016-11-01,2016,November,94.4,False
Trade Price Index for Imports,2016-12-01,2016,December,93.7,False
Trade Price Index for Imports,2017-01-01,2017,January,98.9,False
Trade Price Index for Imports,2017-02-01,2017,February,98.3,False
Trade Price Index for Imports,2017-03-01,2017,March,98.1,False
Trade Price Index for Imports,2017-04-01,2017,April,98.0,False
Trade Price Index for Imports,2017-05-01,2017,May,94.7,False
Trade Price Index for Imports,2017-06-01,2017,June,94.0,False
Trade Price Index for Imports,2017-07-01,2017,July,95.1,False
Trade Price Index for Imports,2017-08-01,2017,August,93.6,False
